Sr. No.,Brand Name,Product Name,Product Details,Price
4646641,Colgate,Fresh,nice nice  nice  nice nice  nice  nice  nice ,10
5651,Colgate,Salty,healthy ,20
233254,Pepsodent,Mint,strong strong strong strong strong strong strong,30
5413543,Pepsodent,Rose,tasty tastytastytastytastytastytastytasty,40
452454,Vicco,Turmeric,strange,50
3544,Colgate,Apple,ok,86
3563,Colgate,Mango,good,76
876,Vicco,Banana,not good,59
3563,Vicco,Jack,wow wow wow wow wow wow wow,64
32424,Pepsodent,Flower,worthy,56
345645,Pepsodent,Fruit,unworthy,43
8765,Pepsodent,Juice,expensive,91
